,index,Full_name,class
0,5321,اعغضز أاكب امجد,F
1,3859,اسداءخصبسحةءائض,F
2,4958,اعتدضل فائز سويد,F
3,3513,احمد عبدالءبار عامل,F
4,133,سعيده محرم قطب,T
5,3951,عأيبفرياددءاتحص,F
6,2382,ساعف رماح عدي,T
7,985,وسيمه ماهر مطيع,T
8,2486,نصره قاهر عبدالهادي,T
9,3472,وؤيعئ جهفضحجام,F
10,147,عبدالجليل فخري العابدين,T
11,4297,نميم ساميجمدطفي,F
12,5539,ريحعأث تهضثحخعطجغ,F
13,3515,هاطشصقاذحوتغكت,F
14,2602,ادريس منقذ اكثم,T
15,1979,نورهان اكثم ظاهر,T
16,1193,اشرم معاد سيار,T
17,2306,عبدالظاهر نافع حمدان,T
18,2768,اشجع مزاحم عمران,T
19,1459,ابراهيم حميد ساعد,T
20,256,ايسر مستور جراح,T
21,1219,بتول ميلاد ممدوح,T
22,4771,نةظق هاخربنألك,F
23,4188,جءءععشكيب عقلر,F
24,5368,مدثرهزهغ أزئانف,F
25,346,اكمل نظير مطير,T
26,552,هود هود عفيف,T
27,4285,رهغاغنشوستشاسددع,F
28,4020,ابراثيمخزجتغطذأعانو,F
29,4615,هظنهه رحييك رغشتد,F
30,4168,غحمرفجاتإ صبلذ,F
31,5488,منخصعمدحت جربإه,F
32,1709,نجوانه عبدالعزيز رسمي,T
33,178,منذره نواس عبدالرحيم,T
34,4877,مرحبكعرمفطقؤيم,F
35,3395,رزيغه تامئ ادادل,F
36,2468,نصرت فتيح فارس,T
37,181,نورس غفار لقمان,T
38,3572,عبدالأكيمإلةرآ فعفح,F
39,2144,ياسمين سمعان عبدالكريم,T
40,5843,انؤاق اذويكر عكرم,F
41,645,اوس قتاده سرمد,T
42,5508,عبيدقفتهان زفهذض,F
43,5141,وفءذه جرير مفيخ,F
44,5379,اريام انوغ فخآر,F
45,848,سالم عارف مهيوب,T
46,5887,اشجع مخلص حجاآ,F
47,3174,قدريلمكتوم مقتدي,F
48,5020,عرضن قعظاض نويان,F
49,5875,غالبصفيزؤقابذط,F
50,287,ايثار عبيده قتيبه,T
51,4777,زسإق فنروآ غصالذ,F
52,1680,سامح رافع ذبيان,T
53,1506,ابان جمعان ربيح,T
54,2107,شهاب سيار نائل,T
55,1764,ضرام سليم طاهر,T
56,3335,نهياش عبدآضمجيد محدن,F
57,5576,رقسم عبدالرحيمإعبدالرزاق,F
58,4631,لميصحمادتفكرسث,F
59,4303,كليب عبدالنورشعبرإهي,F
60,4759,حزاملسامحدعتيس,F
61,4298,مبثرعحظدون آرزوقء,F
62,3147,عقتقلنتبلؤفثظيتالحءبهبهظ,F
63,2512,تماني ادهم تليد,T
64,4106,علاءالدين وهعب بارع,F
65,2757,هاني نجدت عيد,T
66,5908,بمسص كذيزسكآم,F
67,5629,نغماسةن أوح,F
68,4079,اموخأنهصاس ظبخاحهزئ,F
69,5835,ومظثشاءر كؤعالقكوو,F
70,957,افتخار غفار رفيع,T
71,2885,غيد فلوح ميلاد,T
72,1975,روان مناع بارع,T
73,4053,حمنإثلفخشعنمير,F
74,1056,رصينه شجاع زبير,T
75,1827,وديعه اديب هادي,T
76,2878,عبير زياد ركان,T
77,5393,فإحهنثدل نظيغ,F
78,5641,فخيح ئغءب غدصوم,F
79,5471,وهمقلرنرآبترعة,F
80,3205,عزيز ذباح كطمل,F
81,1417,مديد شجاع اشهب,T
82,1224,خاتمه رابح فيض,T
83,3756,رزادبسلامهاوقبهغ,F
84,202,شبل مصعب فاروق,T
85,687,حسان نصير جلال,T
86,2672,سدين ركان فوزي,T
87,2429,امال الحبيب مصعب,T
88,795,فواز جراح ناصح,T
89,1492,ناشئه مظفر حكيم,T
90,1335,الفت نصير خليوي,T
91,2462,داوود عبداللطيف غفار,T
92,3987,صزاجسعرج رشوكأ,F
93,4768,سهدلددظشنر رشوخنط,F
94,3773,ثوبف ثائص رافق,F
95,3631,شاهد نخرآتامحض,F
96,3138,لبيد مغشارقدانيؤ,F
97,3650,يةنإخمهنآغعبهعلشمقض,F
98,2415,كرم مشرف عبدالفتاح,T
99,1406,شجن نامي عدوان,T
100,682,نديم عكاشه دعيج,T
101,5184,يزيدمويإج اسشض,F
102,857,زيدون رسمي بهيج,T
103,496,طلال رامز ارقم,T
104,5195,اجضد وثاء دزدلنض,F
105,5310,عسقذ ابائآحنحله,F
106,2441,مجتبي حمد نزيه,T
107,705,رابح راكان صمصام,T
108,2023,هاشم ساجر مسلم,T
109,376,الجوري سادن راغد,T
110,4329,مرشدغهيتنبخرصل,F
111,3712,ايهءفنذر تزوح,F
112,3979,حقاج مةدوة ؤبظالواحزآ,F
113,3984,ساهد مشرف فرضد,F
114,1322,محرز رسمي منيع,T
115,5358,فإيةفشسيجسنواايع,F
116,800,حامد وهاب قطامي,T
117,383,شكري اغلب محمد,T
118,131,قطامي رافد خزعل,T
119,3067,افمثني عئبأجازعأ,F
120,3667,عقهيثآزغنولكتادحء,F
121,4509,صارم العم عبدالعغيم,F
122,4829,قتادحدنضءم وإصصا,F
123,1379,باريه راغد بشار,T
124,5052,عبكاارزوايغمهركيند,F
125,1898,سيلين عمير نواس,T
126,4415,ثاكئ فءدة عبدئصمنان,F
127,653,رهف شفيق راشد,T
128,1513,بليغه رئيف نعمت,T
129,4042,رمزصط تائف أاطو,F
130,737,شريفه زاهر سالم,T
131,4636,ندرط شروم مبروك,F
132,3656,مديد اسمر إشيأإ,F
133,3141,ظبيه اشرن منتظر,F
134,3296,رفيفشفسغإ فمرح,F
135,3533,سميمءعبؤشلبحيي خؤرأظ,F
136,3980,مئفره اشقر صضهرح,F
137,1746,تركي معاويه كامل,T
138,2739,خويلد فرناس ناصر,T
139,2464,حوراء زكريا ناشر,T
140,4418,فجر هديف عبدالحاحن,F
141,4315,صاأة شهم عبرإ,F
142,4025,ثضاض سامر ئماتئ,F
143,1233,نصر زايد اشرم,T
144,1582,طاهر رفيع وهاب,T
145,1717,عقاب عيد غافر,T
146,5763,رياضءسادص سيشر,F
147,2060,عكاشه جمعان سيد,T
148,1113,احسان مسعود حفص,T
149,3808,عصيتذععاد عفيف,F
150,5690,شبرؤقمهتثي ادعم,F
151,1962,انتصار عبدالعزيز داني,T
152,2834,نجيب اكمل هائل,T
153,2145,عائشه قاهر يحيي,T
154,5781,بشيس امجد ورف,F
155,2945,رنا نبيل عوض,T
156,3902,عبدطلصمد عفيفأتءمد,F
157,1614,ريهام اشرم بارح,T
158,3283,فصيحه عبدالقيومشرؤوف,F
159,751,رضا هبيره شافي,T
160,2845,فهده عقيل ناجي,T
161,153,جراح ساعف براء,T
162,3110,نكرزغسقيي تجاإك,F
163,2402,طلال ساري عبدالحميد,T
